INLINE MagClassTable,Base Magic,Magic Growth,Magic Cap,Magic Promotion Bonus
None,0,0,20,0
Ephraim Lord,1,10,20,0
Eirika Lord,1,25,20,0
Ephraim Master Lord,2,10,24,1
Eirika Master Lord,2,20,25,2
Cavalier,0,0,20,0
Cavalier (F),0,0,20,0
Paladin,2,10,24,2
Paladin (F),2,10,24,2
Lance Armor,0,0,20,0
Armour Knight (F),0,0,20,0
General,0,0,22,0
General (F),0,0,22,0
Thief,1,5,20,0
Manakete,0,0,20,0
Mercenary,0,0,20,0
Mercenary (F),0,0,20,0
Hero,0,0,23,0
Hero (F),0,0,23,1
Myrmidon,1,15,20,0
Myrmidon (F),1,15,20,0
Swordmaster,2,10,23,1
Swordmaster (F),2,10,23,1
Assassin,1,0,22,0
Assassin (F),1,0,22,0
Archer,0,0,20,0
Archer (F),0,0,20,0
Sniper,1,10,24,1
Sniper (F),1,10,24,1
Ranger,0,0,22,0
Ranger (F),0,0,22,0
Wyvern Rider,0,0,20,0
Wyvern Rider (F),0,0,20,0
Wyvern Lord,0,0,21,0
Wyvern Lord (F),0,0,21,0
Wyvern Knight,1,5,24,1
Wyvern Knight (F),1,5,24,1
Mage,1,55,20,0
Mage (F),1,55,20,0
Sage,5,45,28,1
Sage (F),4,45,30,1
Mage Knight,4,40,24,2
Mage Knight (F),3,40,25,2
Bishop,4,35,25,2
Bishop (F),4,35,25,1
Shaman,2,50,20,0
Shaman (F),3,45,20,0
Druid,6,55,29,0
Druid (F),7,55,29,1
Summoner,5,50,27,0
Summoner (F),5,50,27,0
Rogue,3,25,26,3
Gorgon Egg,0,0,30,0
Great Knight,0,0,21,0
Great Knight (F),0,0,21,0
Recruit (2),0,0,20,0
Journeyman (3),0,0,22,0
Pupil (3),5,55,29,2
Recruit (3),0,0,23,0
Manakete,2,0,20,0
Manakete (F),2,0,20,0
Journeyman (1),0,0,20,0
Pupil (1),1,55,20,0
Fighter,0,0,20,0
Warrior,0,0,21,0
Brigand,0,0,20,0
Pirate,0,0,20,0
Berserker,0,0,21,0
Monk,1,30,20,0
Priest,1,30,20,0
Bard,1,45,20,0
Recruit (1),0,0,20,0
Pegasus Knight,1,10,20,0
Falcon Knight,3,30,23,3
Cleric,1,30,20,0
Troubadour,1,25,20,0
Valkyrie,4,35,25,2
Dancer,1,45,20,0
Soldier,0,0,20,0
Necromancer,9,55,30,0
Fleet,0,0,20,0
Phantom,0,0,20,0
Revenant,0,0,20,0
Entombed,0,0,21,0
Bonewalker,0,0,20,0
Bonewalker (Bow),0,0,20,0
Wight,0,0,21,0
Wight (Bow),0,0,21,0
Bael,0,0,20,0
Elder Bael,0,0,22,0
Cyclops,0,0,21,0
Mauthe Doog,0,0,20,0
Gwyllgi,0,0,23,0
Tarvos,0,0,20,0
